题库,试题,参考答案
销售-合同下单,当客户无法收到我们的报价邮件，而我们合同确认必须要客户公司邮箱回复才有效，我们怎么办？,"1、请客户检查垃圾邮箱、设置白名单，看是否可以找到我们的邮件
2、可以将报价通过微信发给客户，然后请客户收到后，用公司邮箱回复，并明确确认金额
3、发送客户个人邮箱，请客户回复时，用公司邮箱，或私人邮箱回复同时抄送他的公司邮箱"
销售-话术应用分析（韩瑾）,学习早会关于话术“1.2合作历史和1.5成功案例”运用分析视频，罗列注意要点,"1.1.5案例介绍和1.6询问需求是组合，电话开发时要先给再问客户拿，1.5案例介绍是关键。穿插案例介绍，再询问客户需求
2.1.5案例介绍中不同的小点出现的比例要提升，不能只说前面2点，而后面一直没有
3.1.2合作历史要讲清楚，不能扭捏。多维度的讲，能够穿插在电话中。多纬度是指从哪年开始合作，合作多少年，合作多少部门，哪些部门，合作多少人，哪些人，多少人
4.1.2合作历史和1.5成功案例在话术中要增加比例
5.案例介绍话术点击次数应多于询问需求数量
6.案例介绍完后，要有停顿听客户反应，再询问需求
7.客户做哪个行业、哪个部门要了解，针对行业和部门的需求做相应的推荐"
销售-客户开发,客户说目前居家业务没有展开，需求要解封后再沟通，我们如何跟进？,"1、与客户沟通一下目前居家情况、团购、小孩等，先拉进相互的关系
2、了解客户公司业务是否受疫情影响
3、疫情下，客户公司如何开展业务活动
4、了解客户公司下半年有什么计划，今年有什么项目一定要完成的
5、给客户介绍同行业公司在疫情情况下的业务情况，找我们做的项目，启发需求"
销售-客户开发,如何增加微信的添加成功率？,"1、第1次请客户添加微信时，给客户添加的理由，比如添加后：方便沟通、最新行业信息、与客户相关的成功案例等
2、电话请客户添加微信的时，明确告诉客户企业微信是在服务通过里，请客户关注一下
3、客户答应添加，系统中设置下次跟进时间，一般1-2小时左右，客户没有添加，及时再跟进电话请客户添加
4、我们也可以通过发送短信，请客户添加手机号，如果客户添加的私人微信，可以在确认时，直接点击企业微信确认"
销售-客户开发,怎么在开发电话中，如何找到有需求的客户？,"1、电话沟通时，不单一业务推广，抓住电话的机会，通过启发需求、成功案例介绍给客户做多个业务
2、业务介绍的时，突出介绍公司是翻译行业最大，市场占有率最大
3、向客户介绍我们近期同行业的做的案例，跟进客户需求情况
4、从新闻、客户公司不同部门了解的情况，增加谈资，从沟通中找到客户兴趣点，进一步挖掘需求"
销售-客户开发,给客户发送邮件后，我们可以做些什么？,"1、发给客户邮件后，一般间隔1-2小时左右，及时与客户确认是否有收到
2、跟进电话时，注意客户的反馈，给予及时的回复
3、同时，仍抓紧机会向客户介绍我们的优势（第一，最大、质量控制、成功案例等），要用不同语言，重复的话不说
4、根据客户的疑问，给出针对性的回答"
销售-客户开发,客户开发时，如何多渠道找到商机？,"1、联系客户公司的采购部、市场部联系人
2、已合作公司，网上找其他人电话，做横向发展
3、跟进过去失败商机的联系人
4、客户开发时，不单一业务推进，介绍多个业务
5、通过售后回访、催账不同的跟进机会，多与客户接触，了解客户近期/远期的计划和项目情况"
销售-客户开发,客户开发沟通技巧,"1、客户问答：先了解客户需求，再介绍自己
2、质量与价格挂钩：资料难和专业，先让客户选择质量要求，再详细介绍服务。
3、先得到客户之前的价格，再报价
4、判断是否是我们的客户，价格太低做不了的，不要耗费太多时间和精力"
销售-客户开发,客户表示最近没有需求怎么沟通？,"1、关心客户：询问最近工作、生活情况，拉近关系
2、增加谈资：将我们了解客户公司其他联系人情况、同行业其他客户公司的情况，与客户沟通
3、增加印象，提升形象：告诉客户我们最近给哪些客户做哪些新的项目，视频、印刷、等等， 让客户有需求第一时间想到我们
4、询问需求：询问客户最近会有什么项目，或者最近在忙什么，通过项目和客户沟通，看我们是否有合作机会，或今后的合作机会"
销售-客户开发,客户跳槽后怎么知道她现在的公司,"1，直接问客户现在的公司名称，若客户不提供，以给客户发资料为由找客户要现在的邮箱
2，通过客户的邮箱后缀+www.邮箱后缀，网上搜索"
销售-客户开发,售后回访跟进时，我们可以做什么工作？,"1、不单纯的做售后回访工作，如果客户质量不满意，应了解客户不满意的点，及时解决
2、若客户对质量满意，进一步了解客户近期/远期需求，项目情况，推荐不同业务，
3、了解客户其他部门情况，争取转介绍"
销售-客户开发,即将离职的客户，我们该如何跟进？,"1、恭维客户高升，了解客户去向
2、了解客户的接替人邮箱和联系方式，请客户帮忙引荐
3、联系上和接替人联系并发送邮件，争取尽快接上头
4、了解部门的组织架构，领导是谁
5、确认系统有客户的手机
6、添加好客户的个人微信，避免失联"
销售-客户开发,用户部门推荐采购，采购又说让用户部门发邮件，我们该如何跟进？,"采购：
1、电话沟通+邮件发送：我们规模、市场份额，质量控制，同行业成功案例与他们公司不同部门的合作
2、了解公司需求情况，需求部门，供应商情况、决策流程（是否必须通过采购）

用户部门：
1、电话沟通+邮件发送：我们规模、市场份额，质量控制，同行业成功案例与他们公司不同部门的合作
2、了解部门需求情况，决策流程（是否必须通过采购），之前是如何解决的，最近什么时候会有需求
3、请客户转发我们的介绍邮件给采购，邮件中写明我们与他们公司的合作案例，与同行业的合作案例
4、各个部门都要联系，加强与用户部门的客情况关系，当客户实际有需求时，再次请客户把我们推荐给采购"
销售-客户开发,"开发时遇到客户提出新的需求，自己不是很熟悉，我们该如何跟进？
","1、了解客户具体的需求情况，时间要求，预算情况，之前如何解决
2、找老销售沟通或网上查询，看是否有解决方案或替代方案
2、有时候客户的需求确实无法满足的，不要一口拒绝，提出替代方案，也是一种方法"
销售-客户开发,当遇到客户公司内部组织架构变化时，我们该怎么做？,"遇到此类情况需多方确认，了解是否对我们的业务有影响
1、重新了解客户公司的决策流程
2、重新了解客户公司组织架构，决策人、联系人和使用人"
销售-客户开发,我们在开发时，如何通过交叉跟进，进行验证，客户公司的内部情况,"将A的回答，询问B；将B的回答，询问A；
通过客户公司内部的交叉跟进，了解实际情况"
销售-客户开发,有段时间没有合作的客户，如何继续开发？,"1、了解有段时间没有合作真正原因
2、了解客户近期业务情况，从客户业务情况，有针对性的介绍我们业务
3、给客户从案例、用途介绍我们不同的业务，启发客户需求
4、了解客户其他部门情况，横向开发"
销售-客户开发,我们开发客户公司的采购时，需要了解采购部的结构，一般采购岗位是怎么分工？,"1）一般采购部分为：间接采购和直接采购
2）一般间接采购会负责翻译、印刷、多媒体业务
3）特殊公司还会分选择供应商的采购和后期处理订单的采购"
销售-客户开发,重点客户开发时遇到客户较强烈的反对意见时，我们如何继续推进？,"针对客户的反对意见，给出解决方案

若仍不能解决时，我们可以
1、交叉跟进周边客户，确认客户反馈的真实性
2、了解与该公司的合作，是否可以绕过他，若不行，还是必须解决。可以请同事交叉
3、还可以联系关系较好的，离职的联系人，他们往往更愿意多说些"
销售-客户开发,若客户约12:15来公司拜访，或者这时候，我们拜访客户时，在客情关系维护方面，我们可以做些什么？,"1、我们拜访客户可以带份点心、咖啡给客户
2、客户中午午休过来拜访，我们可以请客户吃个简餐"
销售-客户开发,合作不仅局限于客户，当我们有机会获得客户会议供应商、设备供应商的联系方式时，我们可以做些什么？,"1、当组同为一家客户提供服务时也可以与供应商多聊聊
2、多方面了解客户公司内部情况，结合自已了解客户公司情况，了解客户公司组织架构，对客户公司进一步开发（例如找出与我们业务合作少的其他部门和负责人）
3、了解供应商的其他客户情况，是否有该供应商业务不重合，我们可以提供服务"
销售-客户开发,当联系曾经有合作的联系人，而联系人说现在由国外总部统一翻译时，我们该如何推进？,"1、了解客户对国外翻译的满意度
2、若客户对国外翻译不满意，询问是否可以通过其他方式继续合作
3、联系该客户公司其他联系人，了解是否确实国外总部统一翻译，还是有其他供应商
4、向客户推其他产品
5、请客户转介绍"
销售-客户开发,采购直接发布招标邮件，我们投标前需要做什么？,"1、仔细看招标内容，有不明白的应询问采购，避免由于投标方法和内容错误，造成投标失败
2、询问采购部门项目是哪个部门需要的，有部门了可以联系部门，若不告诉哪个部门的需求，我们需要找出用户部门
3、联系该客户公司不同业务部门的联系人，找到需求部门
4、从需求部门没有内线的发展内线，已有内线的，了解其他供应商情况，增加投标成功率"
销售-客户开发,当遇到采购没有决策权，业务部门直接可以下单，那采购部门我们是否还需要跟进？可以做哪些工作？,"1、即使采购没有决策权，也要介绍我们公司的优势，加深印象
2、不定期的给采购发送邮件，加深对我们的认可
3、电话微信不定期持续跟进，联络感情，请客户帮忙推荐，了解客户公司所有项目的情况
4、通过采购可以了解客户公司的组织架构，便于我们下步开发"
销售-客户开发,当客户推荐了采购，但我们联系采购时，该采购说没有需求，我们如何跟进？,"1、判断该采购是否是负责翻译业务的采购
2、可以说用户部门推荐说有需求的，让我们联系采购的
3、了解客户公司决策流程，各部门的翻译需求无论金额大小是否必须通过采购，还是直接安排供应商就要以了
4、如果不需要通过采购可以直接下单，我们需要联系直接的需求部门"
销售-客户开发,当客户提出要求签订长期协议时，我们要注意了解哪些信息？,"1、了解客户签长期协议的目的
2、是否是要求长期折扣价格
3、延长付款周期
4、年翻译量，频率
5、哪些部门需要翻译
6、签了长期协议后，操作流程
7、是排他协议吗？其他对手有吗，具体情况"
销售-客户开发,"群发客户回复邮件，询问价格或公司情况,但无其他联系方式,我们一直接系不上,怎么办?","1、坚持发送不同内容邮件，频率保持1-2天1次
2、发送的邮件中，留下自已的手机和微信二维码，请客户添加微信或手机联系"
销售-客户开发,当遇到客户要求帮忙下载视频时，我们可以做什么业务推广？,"1、了解客户视频用途
2、向给客户推荐我们的视频译制业务
3、给客户介绍我们的成功案例，发送视频案例
4、询问客户需求时间，为合作做准备"
销售-客户开发,开发企业传播部/市场部新联系人时，我们需要在电话中了解和推介自己什么内容,"1、我们为哪些同行的企业传播部/市场部提供服务
2、我们业务范围广，可以提供不同业务的一体化服务
2、与他们公司的合作历史
3、目前他们的供应商，合作满意情况
4、会有哪些服务需要
5、需求量多少"
销售-客户开发,当了解到客户展会样本消耗慢时，我们还可以推荐什么业务？,"1、样本消耗慢，说明客户展台不大，可以向客户推荐展台搭建，了解客户展台面积，之前的费用，给客户做推荐
2、推广商务礼品，了解客户是否有需要，大概价位，品类
3、推广海报、易拉保、无纺布袋"
销售-客户开发,拜访客户时，客户将我们带到工作区域，而不是会议室时，我们可以做哪些进一步开发工作？,"1、主动和客户旁边的同事打招呼，递送名片
2、介绍公司优势和合作历史
3、尽力找到主管经理进行沟通
4、询问客户公司的样本或翻译相关的已有的参考资料，能拿的就问客户要（方便整理词汇或翻译时参考）"
销售-客户开发,重点商机跟进拜访时，我们应该安排几名销售，做好哪些准备？,"1、重点商机跟进陪同拜访很重要，至少2-3名销售一起拜访，客户有3个人，我们如果只去1个，就显得气势就弱了
2、拜访前相关销售一起开会：
1）落实准备好案例资料
2）明确拜访达成目的
3）每个销售的分工明确，有介绍，有提问，有案例介绍
3、拜访前，尽量预约足够多的客户联系人，一次逐个见面或部分一起见面"
销售-客户开发,总机一直无人接听，怎么办？,"1）查客户公司官网
2）联系客户公司联系人时，直接问客户联系人
3）企业微信-CRM应用-查客户公司"
销售-客户开发,客户在微信中推荐新的联系人时，我们可以有哪些操作方法？,"1、请客户直接拉群
2、请客户将我们的企业微信名片发给朋友
3、了解客户与推荐的联系人关系，是同公司还是朋友
4、问清部门、姓名和电话/邮件等信息，大概需要哪方面的服务
5、尽量自已联系客户推荐的联系人，而不是被动等待（如等客户转发邮件）"
销售-客户开发,电话联系时了解到联系人已离职，我们可以做哪些工作继续开发？,"1、问清楚接替人
2、问此人原公司的需求情况，组织结构，便于后期原公司的开发
3、了解联系人现在就职公司，根据新公司行业针对性做案例介绍
4、添加该联系人微信，新公司邮箱，避免后期断连"
销售-客户开发,新客户建商机前需要做哪些工作？便于在合同签约后，能顺利的在ERP中录入销售合同,"1、客户公司信息了解完整，公司名全名、地址、联系电话、联系人中文全名、手机、开票信息等信息
2、新建客户公司，新建联系人，将上述信息完整录入系统"
销售-客户开发,遇到经常让我们报价（2次以上），但又不给我们做的客户，我们怎么办？,"1、了解客户决策人，决策流程
2、了解客户没有选择我们的根本原因
3、了解选择其他供应商的原因，如果我们可以做的，满足客户的要求
4、向客户阐述多个供应商对他的好处
5、若客户仍不给我们，和客户直说：一直让我们参与比价，我们和其他供应商能做到一样的情况下，仍不选择我们，我也很难向公司交待，如果一直不能合作，只是参与比价的话，我们也不能再提供报价了"
销售-客户开发,当收到客户电话/邮件，说不需要服务后，我们应该如何做丢单后跟进？,"收到丢单信息，应立即跟进
1、了解客户不需要服务的具体原因
2、若是价格原因，了解相差多少
3、若价格在可控范围内，给客户讲我们质量优势，并告诉客户马上向经理申请折扣，请给我们服务机会"
销售-客户开发,国企新客户，若需要设计和印刷服务，但要求制版和印刷合同分开，我们该如何跟进？,"1、了解客户最终印刷品需要完成时间，从时间紧，国企审批合同慢的角度，建议客户设计和印刷一起审批
2、这样设计完成就可以印刷，不需要再走合同流程"
销售-客户开发,当客户要文言文翻译时，我们该如何跟进？,"1、告诉客户我们可以安排外籍华人翻译，老外校稿，从老外的角度以看得懂情况下翻译
2、体现翻译难度，为价格提高做准备
3、降低客户期望值，即使翻译出来，老外也可能无法了解其中韵味"
销售-客户开发,当客户有样册翻译需求时，我们如何进一步推荐印刷服务？,"1、询问客户新版是否需要印刷
2、了解客户之前是如何解决印刷的，量、供应商情况等（商机7问）
3、请客户提供之前印刷的样本，给我们参考
4、根据客户给我们的样本，找同行业或类似的样本，发给客户看
5、体现我们一体化服务优势
6、了解客户此次印刷时间、量、决策人、预算等
7、请客户与我们合作"
销售-客户开发,当客户询问需要要排版服务，我们可以做哪些开发工作,"1、询问客户需要排版还是制版
2、了解客户喜欢的风格，可以发一些同行业，或知名外企的样本给客户看
3、询问客户制版后，用途
4、给客户讲制作印刷一体化的优势
5、了解客户的预算、应用背景、决策人、时间
6、给客户推荐我们的印刷服务
7、请客户给我们合作机会"
销售-客户开发,遇到国企客户，有公司简介设计印刷和笔记本订制需求时，拜访时我们需要注意事项？,"1）多方领导沟通，需要把决策人，影响人，使用人的关系搞清楚，预算，时间
2）了解样本和笔记本分别需要哪些内容确认，当面沟通，回来后再整理发给客户，便于她与领导汇报，可以继续下步工作
3）问客户要之前的样本，和他们领导喜欢的样本，带回公司为后期的设计提供参考"
销售-客户开发,长期客户，当采购要续签长期协议要打折时，我们如何处理,"1）长期协议本来就已按折扣处理
2）分析近期合作，金额小，无法再打折
3）如果遇到大项目可以单独项目折扣处理
4）告诉客户之前哪些合作部门翻译哪些资料较多，让采购参与去跟进一下这些部门的需求
5）从采购处了解近期会有什么方面的翻译需求
6）了解去年的消费情况，竞争对手的情况，哪些部门不找我们，对应的负责人"
销售-客户开发,收到群发邮件、或扫描微信，联系我们的有需求的新客户，跟进流程是？,"1）了解来源
2）此次需求具体情况，内容，页数，时间等
3）针对客户需求穿插成功案例
4）添加微信，落实公司名
5）添加微信发送公司简介
6）发名片，请客户提供名片
6）让客户将资料发过来
7）企查查了解客户公司情况
8）分析客户稿件，提供报价、交稿时间，注意付款时间
9）了解有无竞争对手，消费经验"
销售-客户开发,通过曾经合作过的联系人，找出现在负责的采购是哪一位,"1）先了解近期没有需求的原因
2）其他部门需求情况
3）采购负责人现在是谁，报了几个系统里有的，客户说不对，问现在是谁负责"
销售-客户开发,"商机7问,请写出加人的话术
","顺带麻烦问一下,我们以前还和什么部门的某某同事合作的,她/他现在还在职吗?现在是哪位同事在接替他/她的工作啊? 
想问一下现在是谁负责翻译和印刷这块呢? 

一般市场部、采购部或行政部也会有这方面的需要,请问还有什么部门或同事有这方面的需要?谢谢推荐啦!"""
销售-客户开发,"商机7问,请写出询问将来情况的话术
","近期有什么需求?
大概关于什么方面的?
大概何时会需要?
大概的量?
谁负责?"
销售-客户开发,"商机7问,请写出询问对手情况的话术
","你们是自己翻呢还是找专门的翻译公司？
合作下来感觉还有那些地方有待提高的？

现有供应商几家？合作多久了？和您合作的是设计公司还是印刷厂啊？合作的怎么样？
（找出突破口：速度，质量，服务)"
销售-客户开发,"商机7问,请写出若客户有翻译和印刷需求的情况下,询问了解过去情况的话术

","笔译：过去半年或1年内你们是如何解决的（自己翻译还是找翻译公司？） 最近1次大概是怎样的？一般大概多久会有一次啊？一般一次有多少量呢？是哪位在负责啊？


印刷：最近半年内有多少种样本做过印刷？每种样本一般多少页？关于什么方面的样本？一次印刷多少份？彩色还是黑白的？
上一次的量？价格？页数？"
销售-客户开发,"商机7问，请写出询问应用背景（判断可行性，重要性）的话术

","请问翻译好或印刷好之后是用在什么地方的?
哪个部门使用的?
时间上有什么要求?
有什么特殊要求吗?"
销售-客户开发,"商机7问,请写出若客户有翻译和印刷需求的情况下,分别询问具体需求的话术","翻译：是哪个语种，关于什么方面的？你们一般什么情况下会有这方面的需求？质量要求到什么程度？（我们提供不同层次的服务，我们还能提供母语翻译，一般情况下是国内译员）

印刷：需要印刷什么方面的样本？大概多少页？印刷多少份？"
销售-客户开发,"商机7问，请写出询问谁需要（分清决策者、影响者、使用者）的话术

","这块业务是跟您联系吗?是哪位在负责呢?
一般哪几个部门翻译和印刷需求多一点,谁来决定用哪家供应商的?最终是给谁或哪个部门使用的?"
销售-客户开发,"知名客户-长期合作,详细话术
","服务的客户大多数都是世界500强的外企,
其中70%以上都是长期客户,像3M、拜耳、阿尔斯通、住友等等,很多公司都和我们合作快20年了,他们选择我们,就是因为我们能在质量上满足他们的要求,另外交稿时间也快"
销售-客户开发,"管理层-办公地,详细话术
","我们的高层管理都是交大毕业的,博士和留美MBA专业人士管理,共有专职员工100多名,其中30名是资深专业翻译人员。在公司规模、管理经验、质量控制体系上都是行业内领先的。

办公地点也在徐家汇核心商圈的5A商务楼中。欢迎您随时来我们公司参观,可以直接感受一下我们与其他同类公司的不同。"
销售-客户开发,"擅长技术-源于交大-ERP-词库句库-译员团队,详细话术","其实我们公司最擅长的就是各种技术资料的翻译,
主要是我们源于交大的嘛,像我们这边90%笔译都是技术类的。
04年开始我们公司就自主研发并上线了ERP管理系统,17年来,始终是行业里是最先进的。而且我们的ERP系统,对整个流程的品质管理非常精细化的。

现在系统里已经累积了几十亿的句库和300+万条以上的专业词汇。所以您放心,我们非常有经验的!
另外,我们也有非常强的译员团队,尤其是你这个行业的译员团队更是非常厉害的。"
销售-客户开发,"97年成立-主营-第1-知名客户-满足客户,详细话术
","我们公司是1997年成立的,
主要是为外资企业提供资料翻译和样本印刷、以及多媒体译制、网站汉化服务的。
尤其在翻译行业,我们目前是上海排名第1的专业翻译公司,
你们行业的绝大多数公司都是我们的客户,很多人与我们公司合作20年了。像3M、拜耳、阿尔斯通、住友等等都和我们合作超过20年了。
这么多年来,他们选择我们,就是因为我们能在很多领域的质量上都能满足他们的要求,另外交稿时间也快。"
销售-客户开发,"启发需求,针对季刊的案例话术
","现在像您这样的外企,很多都会有公司季刊发放给员工或者赠送给客户,像我们合作的德国的柯尔柏,英国的斯派莎克,日本的富士电机,他们每个季度都做季刊,反馈效果都很好
您公司是否有类似的季刊?是哪个部门负责的呢?她贵姓呀?您能帮忙引荐一下吗?"
销售-客户开发,"启发需求,针对网站的汉化的案例话术
","许多跨国公司的网站,像GE呀、日本富士电机呀,本来是英文或日文的网站,现在面对中国客户,都需要做成中文的,那这些网站的汉化工作都是我们做的,还有很多新进入中国的外企
另外像汇丰银行的网上银行系统的本地化项目也是我们做的"
销售-客户开发,"启发需求,针对视频译制的案例话术
","1）企业宣传:很多客户英文的企业宣传片、产品展示视频,都是我们翻译后,帮她们配音配字幕,然后用于展览会上循环播放,或她们企业微信公众号、视频号的发布,效果都很好的。
尤其是疫情以来,都在往线上转,这方面的需求非常大
我们最近刚为世界注塑行业的最知名的HUSKY公司译制了很多的公司产品的介绍视频,在中国注塑展上使用,反馈效果也极好。


2）企业培训:另外在员工培训、供应商培训,我们也做了大量的视频译制,视频的方式能大大减少培训成本。
比如近期我们的客户欧莱雅和3M公司,她们的产品种类特别多,她们的视频营销特别厉害,很多很多视频,当然这些视频的译制都是我们做的"
销售-客户开发,"启发需求,针对口译的案例话术
","现在像您这样的外企,平时应该会用到口译吧。我们前段时间刚为可口可乐公司培训提供了交传口译服务,他们国外同事来中国做销售培训,全程3天的培训口译都是我们提供的,反馈非常不错。德国化工巨头拜耳公司他们全球总裁只要来中国,全程的陪同口译都是我们提供的,甚至会见发改委的领导,电视台访问,新闻发布会的同传都是由我们提供的。

现在也快接近年底了,很多公司都会开年会,像医药行业的BD公司连续4年年会的同传都是由我们提供的,从1000多人的同传设备及同传口译都是我们提供服务的。"
销售-客户开发,"启发需求,针对展会翻译和印刷的案例话术
","像巴斯夫、拜耳、陶氏他们每年都会参加全球最大的化工展览会Chinaplus,他们会使用到几十种不同的样本,这些都是由我们公司提供翻译和印刷服务的

您是否也有样本需要翻译或印刷呢?您公司每年会参加几次展览会?展览会上用的样本是哪个部门负责的?负责人她贵姓呀?您能帮忙引荐一下吗?"
销售-客户开发,"启发需求,针对技术资料,招投标资料的案例话术
","我们刚在1周内为法国的阿尔斯通完成了一大批招投标资料的翻译,客户对我们的质量和交货速度非常满意

您公司是否也会参加招投标的项目,如果遇到资料需要翻译,是哪个部门负责的呢?她贵姓呀?您能帮忙引荐一下吗?"
销售-客户开发,"启发需求,针对市场部/公关部的案例话术
","比如化工行业知名的巴斯夫、拜耳,他们市场部所有的资料翻译、样本印刷、会议的同传,甚至他们全球总裁来中国会见发改委的领导,全程陪同口译,都是我们做的

另外他们的行政部,技术部,还有采购部也都是我们提供服务的

您公司也会有类似的需求吗?您公司市场部应该也有这方面的需求吧?大概是哪位同事负责的?她贵姓呀?您能帮忙引荐一下吗?"
销售-客户开发,"跟客户电话沟通时,客户说最近有需要,请罗列问清商机7问的话术","这块业务是您负责吗?还是其他人负责呀?
是什么时间需要?要求多久完成?哪种语言?哪方面的内容呀?需要的量有多少呀?
翻译好/印刷好之后是用在什么地方的?哪个部门使用的?内容/排版上有什么特殊要求吗?
之前有和其他供应商合作吗?哪些方面我们需要格外注意呢?
您公司在这个项目上的预算是多少?是各个部门独立负责还是公司某个部门统一负责?"
销售-客户开发,"开发客户时,遇到客户反馈说我们以前的中译英翻译不到位,我们该如何应答?","以前我们对所有的客户都提供相同档次的翻译服务,所以会出现这种现象。

现在,ERP系统对译员实行分级管理,不同水准的译员提供不同水准的服务,尤其现在有很多高端客户,我们可以直接提供母语翻译服务,比如质量要求高的中译英稿件,我们是直接用会中文的外籍译员翻译的,很多客户觉得翻译出来的英文非常地道,对我们提供的高端服务非常满意的,这也是一般的小公司很难做到的

您好,非常感谢您刚才的反馈,我也记录下来了,也会在以后的合作中更加注意的

不知道您近期有翻译或印刷方面的需求吗?大概是什么内容?时间是?"
销售-客户开发,"电话沟通时,客户说已经有合作好多年的供应商了,不更换的,我们应该如何回答?","这个没有关系呀,因为我们公司是上海规模最大,市场份额第一的,成立25年的时间,很多世界500强外企都是我们的长期客户,你们行业的绝大多数公司基本都是我们的客户

而且一家公司有2家甚至3家都很正常,不同的部门有不同的需求,我们不管是质量还是速度,肯定是比其他供应商性价比高,而且我们合作的都是知名的大公司,我相信这么多客户肯定也试过很多家供应商,觉得我们还不错,所以才长期合作的。

多1个供应商其实对您才是最好的。这样您可以有比较,选择质量好交稿及时的。

遇到项目时间特别紧急的时候,一家来不及,临时找1家对您资料不熟悉,质量不一定能达到你的要求的,而且我们还能提供从翻译到印刷一体化的服务,视频译制也是我们擅长的,增加我们1家供应商可以解决您很多需求的。

我们服务的也都世界500强的外企,他们也会有多个供应商,因为我们质量保证交稿及时,所以客户一般都选择我们会更多一些。"
销售-客户开发,"电话沟通时,客户说他们工厂在外地,他们只和当地供应商合作,我们应该如何回答?","现在没有地区差别的,尤其是翻译,都是邮件往来,很方便的,即使快递也第2天就到。

您放心,我们公司成立20多年了,已经是目前上海规模最大的翻译公司,质量也是最好的。我们服务都是世界500强的外企,他们在美国、欧洲的公司也是找我们的

您可以先给我们一些小单做,看看我们的质量跟你现在的供应商比是不是我们更有优势"
销售-客户开发,约访客户，请给出3种说法,"1)你好，我正好到你们公司来见下其他部门的同事，到时候顺便来见下你，你看方便嘛。
2)我正好在你公司附近，有时间吗我正好上来见下你。
3)请问你明天有空吗，我把我们公司的资料，样本还有点礼品什么的给你送过来，您方便嘛。
4)您好，这次翻译的东西完成了，您明天有空吗，我顺便过来把稿件（发票）给你吧，也和你碰个头。
5)你好，你们公司我和其他部门一直有业务来往，而且三天两头往你们公司跑的，你们那的同事我都很熟，今天我正好要过来，顺便见见你，你看有空吗？"
销售-口译-商机跟进,由于我方原因要更换原定的口译人员，如何与客户解释,"由于我方原因要更换原定的口译人员。
1)钱总，那个本来您挑选的翻译，真的这次很不巧，她生病了，那我觉得这样的话，如果他带病去工作呢，也是可以的，但我觉得会影响你整个口译的一个过程，那你看要不我再帮你换一个跟他同等级别的翻译，我帮你换，你看可以吗？
2)我发现我们翻译跟我说的他好像身体不大好，我觉得可能这样会影响点效果，但是不换呢也可以，你觉得呢？因为我是对整个项目的执行结果要负责的，我对你要负责的，你把这个时间委托我，我要负责的，但是我发现可能有点问题，你看，是不是，我帮你去找一个更好的，或者比他级别高一点的，能够去把这个场子去解决下来的。你看好吧。"
销售-口译-商机跟进,"按下列提示的内容，阐述我们将如何保证口译的质量

1)谢谢你对我们公司的支持，

2)一般来说，我们做的这种也很多，

3)当然其实当然希望你能

4)您好，我们这边这样的会做的很多的，

5)这个会议之前，你们前几年有吗，","1)谢谢你对我们公司的支持，口译合同，我们这边已经收到了，我这边因为也做口译蛮多次的嘛，我这边口译经验也蛮丰富的，所以想根据你上次提到的技术类型的研讨会，我觉得，如果能保证你这次整个会议整个进程会比较好，比较顺的情况，不知道你这边有没有一些会议方面的PPT的文件，或参考资料。这样我会提前发给到我们的翻译人员，让他事先做好准备，这样我觉得会更好一些。
2）一般来说，我们做的这种也很多，有的会是有演讲的，有的会是问答环节，我不知道，你们这次会议，有问答环节吗？如果有问答环节，问答的问题，跟答案，你们之前有做过准备吗？如果有的话，那这些资料，能早点提供过来吗？如果准备好的话，能早点给我们吗？
3)当然其实当然希望你能尽可能多的提供资料给我们，格式都可以的，因为我们记得会议上肯定会大屏幕投影出来的。最好是英中对照的版本。一般会议上会有投影，投影的时候，最好做成中英对照的，减少翻译的工作压力。你们PPT做好中英对照的工作了吗？这方面的资料可以给我们吗？
4)您好，我们这边这样的会做的很多的，你们这个行业也做得很多的。但是其实每个行业的不同的公司，也会有一些词汇上小的一些偏差什么的，你这边这样的会上会有几个人会发言。他们的发言稿，你这边有没有准备，以我们的经验来说，很多以前大的公司，他们做研讨会，事先都会有一些演讲稿，包括他们事先写好的英文版，包括中文版让我们来翻译，那你这方面有没有这方面的准备。
5)这个会议之前，你们前几年有吗，是你这边负责吗？一般我们这种会议做得很多了，一般组织的好的话，主办方会提前把相关人的发言稿都收集到位，会做翻译，印刷，做成手册，同时会把这个资料给我们，让我们的翻译提前准备起来，这样，在会场上的效果会非常好，因为我们翻译对它非常熟悉。"
销售-口译-业务介绍,请列举3个医药行业的同传案例,"1、疫情期间爱德华公司亚太区年会在日本召开的，采用的Teams会议系统，虽然Teams没有同传功能，但我们非常有经验，通过3台设备转换，高质量的完成了会议的同传口译，在中国的员工都参加了，反馈非常好
2、礼来公司他们每年都会有不同国家的专家来做中国做PMA审核，连续多年都是我们提供的口译服务，而且每年的专家都是来自不同国家的，我们提供了西班牙语、俄语、日语等不同语种的口译服务，每次都是驻厂的连续工作1-2周左右时间，客户和专家都很满意
3、3M公司生物检测部门,所有与国外专业的研讨会都是由我们提供同传翻译服务,国内外专家反馈译员很专业,准备也非常充分.同时研讨会的相关笔译资料也都是由我们提供的"
