客户触发,我方回复
标书只有这个是吗,还有个是21年sarah找我的，标书排版
hi T 能找到这个文件吗，能的话再分享我一下，多谢啦。 试试搜索 标书 这个关键词之类的,好的，稍等哈 001-Warehouse dehumidification project投标书-技术标副本.doc 002-Warehouse dehumidification project投标书-商务标正本.doc 这两个文件么
Hi T， 我们还有多少银子？,77675
那也行，我反正还有一丢丢库存。,这个费用走预付款咯
对了，你那边给我放个两个月左右有办法吗 我想起来暑假时候，我们办公室要装修 东西要清空,彩页打样我们这个月看掉，印的话到7月份弄，这样我放1个多月 这样可以哇
那就是月底了 我6.30休假10天 如果6.30搞不定，7.11再找我哦 云南。 ~。~,有风的地方，一直想去，也一直没机会
是彩页不打样，还是彩页穿进软面本里不打样,彩页穿进本子里吧 彩页还是打一下 按2周时间预留吧
收到，谢谢。 我设计给你后，你大概多久可以交货,等等我找同事问下哦，这个可以不打样么
我的彩页的前面，有多少张纸，你知道不？ 谢谢 费用没问题了， 设计师最近比较忙，设计快的话周五，慢的话下周发给你。,这本是最早你给我的那本 后面我们做的那本我木有了
印刷没问题，你受累确认下印刷出来没有丢元素丢文字即可,和jpg对过了，没有缺元素 引用：[图片]；回复：正面
我请了一周的病假，所以最近没咋跟进，我今天追问一下~,[抱拳] 好好保重~~不急等你正常上班了再问好了
新的字体最好，你随便中英文各做一段，然后发截图到群里，让同事确认一下哦。,再看看邮件有了么，如果没有麻烦到垃圾箱里看看[捂脸] 我复制的呀 它是迷路了么 tiffany@speed-asia.com 引用：发了哈；回复：收到啦，在这封邮件上回复了
所以审阅的时候可能要提供word的同事给一份转曲的pdf版本。? 这是思源字体安装文件。 我们常用的是思源黑体。但是思源宋体也是无版权的。,"引用：?字体要求听William建议吧，跟市场部要求一致就行；回复：好的，那就思源黑体了 文件再确认下哦@妮妮 07不用，没有02 报价单刚发你邮箱啦，麻烦查收，没有问题的话，请回复邮件，我好先安排下去 这是一条引用/回复消息： ""妮妮：?你可以安排了，审批没问题的哈"" ------ 好嘞，邮件麻烦回复下哈，我们财务要审核，谢谢啦 这是一条引用/回复消息： ""妮妮： 收到回复你，暂时还没收到邮件"" ------ 好的，我重新发了一遍 我截了几页，可以大概说下要调整的地方吗？ 比如1,2,3这些小点是要和标题都左对齐吗 4点下面的图片到了下面一页，是否调整到同一页面 英文字体用Nexa Fonts吗"
默认不安装，估计打开word就会被自动替换成其它字体了,那就是我们排好用思源字体，同步我发PDF给你们看
?，我这边会有农业公司的抬头，纯工业同事的抬头只会是蒙特江阴。所以每次问一声总是没错的。,WORD文件中的字体现在是宋体，我们会把字体换成思源黑体，另外排版的需求再确认下就是WORD中调整对齐对吧
?，排版的需求，以及后续的修改，都可以直接和Tiffany提需求。当然，当前的报价是针对上次交代的对应的。,引用：我给你信息，开票信息就可以吧；回复：嗯嗯，可以的，给我个邮箱呗，报价单做好发你邮件
?，Lynne需要你提供一份正式的报价单哈，谢谢,Hi Lynne，报价单写哪个公司抬头呀
同事牵头走流程和付钱，我就只负责和你对接工作内容了哈。,抬头是开哪个，在群里问同事对吧 引用：同事牵头走流程和付钱，我就只负责和你对接工作内容了哈。；回复：嗯，排版要求什么和你对接
不急。晚些同时告诉我几天交付。,引用：[FORTICA MAX_BRO_25.03_ZHO_HA.pdf]；回复：这个10p，封二，封三留白吗
先口头问问，我只需要各100本印刷出来，各自多少钱？谢谢。,这个等我一会哦 先安排个其他的翻译
我显示发出去了呀。。。好奇怪 你的邮件我收到了，刚也回复确认了。谢谢。 我把ppt附件删掉后，重新发了你一遍。 你看这次是否收到。 ppt么反正就是微信也传你了。,确认邮件收到了 字体中文英文都用思源黑体么 颜色用色规范，我这里是202302版本的，有咩有最新的
但是我理解是图标既然做出来了，ppt里应该直接已经记忆了数据了，双击或者右键就可以展示了 对方的意思是，如果表格需要美化，那你根据数据重新做表格的意思 能呈现意思就行了 表格可以变啊，可以呈现同样意思且更美观的话。 okok 邮件收到没,我邮件报价发你一下 引用：邮件收到没；回复：你的邮件一直没有 我的报价邮件收到了么
我转了你一个邮件，里面是需求原邮件，说ppt的第五页的图标的数据来源。我理解这个图标双击就可以展现数据来源了，但是反正分享你们吧，万一图标要重做可能用得到。 哦对了，要求明天10点半之前做好，来得及吗？我看页数肯定是不多的。他们貌似11点见客户用。已经是死死的deadline了 引用：原件打印盖章快递给你吗；先给我盖章后的扫描件，原件采购要是问了再说吧，记得骑缝章+完整一个圆章,"字体用思源黑体 引用：哦对了，要求明天10点半之前做好，来得及吗？我看页数肯定是不多的。他们貌似11点见客户用。已经是死死的deadline了；回复：我争取今天下班前给一版 这是一条引用/回复消息： ""william.s： 我转了你一个邮件，里面是需求原邮件，说ppt的第五页的图标的数据来源。我理解这个图标双击就可以展现数据来源了，但是反正分享你们吧，万一图标要重做可能用得到。"" ------ 邮件还没收到"
咱们还剩多少银子,71525 引用：[Munters-non-disclosure-agreement-external---mutual-template-202309_EN_CN.docx]；回复：原件打印盖章快递给你吗
亲，争取打个折呗，估计有点难,引用：亲，争取打个折呗，估计有点难；回复：8这 960，控制在1000以内
咱们签过保密协议吗，之前,长期合同里有保密条款 不过刚发现长期协议也过期了..... 要不要补一个
做的话怎么报价的啊？ 谢谢 起床啦，太阳晒屁股了~ okok,来了~~刚开完会 100~200/p
引用：数码快印的话2天；OK，有数了，我活动是下个月10号，还要邮寄到南京。那我确保最晚9月3号给你。、 引用：我记得你们是不用覆膜的哦；无所谓了，就50本。,我等会报价先写给你，等你文件好了，再回我吧
okok 有数了 我刚才问了，确实是sarah在负责和你对接后安排财务的付款（有需要付款的话）,我记得你们是不用覆膜的哦
引用：那应该可以啊。那你等我把里面的几个文字修改掉。才能印。；才发现中文的源文件在老外那里，那有的等了。。 你这个从收到印刷文件到交货大概多少天？,去年没充钱，所以也没找sarah付过钱 引用：才发现中文的源文件在老外那里，那有的等了。。 你这个从收到印刷文件到交货大概多少天？；回复：数码快印的话2天
那应该可以啊。那你等我把里面的几个文字修改掉。才能印。 对了，你现在如果不用余额的话，谁负责给你操作付款啊？sarah吗,不走预付款的，就7月份lynne做过
50本多少银子？,575
那本thomas的问我能不能50本，几百块搞定。我都不好意思告诉你~ （另一本找到了几十本库存说暂时就别印了。因为两本马上都要改版的原因）,引用：那本thomas的问我能不能50本，几百块搞定。我都不好意思告诉你~ （另一本找到了几十本库存说暂时就别印了。因为两本马上都要改版的原因）；回复：thomas的是二折页，数码打印可以的，不上机印刷
嫌贵，让我先hold~,哦哦~~他们有心理价格么
总之就是纵轴设置成非同比例，让0-400的拉宽，以便0-400取件的折线能比较分明。400-2000的拉窄。 我们是office365最新。 你ppt发我吧 回头这个表，我们财务改完后，我替换下就是了。 [合十],两本宣传册用户部门有反馈么
我的excel和你的不一样，同样位置没有看到你截图的这个东西···,我19版本的
引用：我是没太明白他的意思，是不是纵轴的数据间隔太小了；就是轴要做成不同比例 低位的宽，高宽的窄，这样才能实现底部的折线也开阔分明。 我以前参加个外部培训是讲过的，所以我知道可以实现 但是早就还给老师了~~,貌似是这里 不同的数据用不同的图形表示？
好的，那我用我们财务小姐姐的吧。。 引用：我自己在研究；你这么有才华,不是写代码，捣鼓一下应该可以吧 我是没太明白他的意思，是不是纵轴的数据间隔太小了
数字比较小的，要局部放大数轴，不然都揉在一起就没意义了 这个我知道excel里是有办法做到的，然后再贴到ppt里（或者ppt里是否能直接做这种设置我就不清楚了） 你可以问问你们财务小姐姐。。 还有就是这个动画速度调快点，我这种急性子忍不了。。hh,引用：还有就是这个动画速度调快点，我这种急性子忍不了。。hh；回复：动画时间原持续1.25现改为0.5
估计啥时候给我，看是否来得及让team最终过目一眼。谢啦。 厉害了,现在在发邮件 搞到7m多
对，帅气+1 员工改成200+,右上角的logo还要放着么
让工厂尽量露出来反正,我来看看怎么把PPT弄小
8号能到就行 南京奥体博览中心美居酒店，李国荣， 15010624048 具体地址：云龙山路98号天盛大厦西北门4-8层(中胜地铁站500米，阿里巴巴华东总部西侧500米),明天发出8号可以 报价我重新发你一下吧
等你吧，我看怎么圆~ >_< 含运费吗 到南京,840 上次报价575
我们那thomas的50本 是说额外2个p的白页，做成实际8p的骑马钉是吗？ 设计师改完了，再问我最终装订方式，我有点忘了。 上次和你怎么确认来着。谢谢。,thomas的那个我好像报错价格了，脑中一直是4p，折页 刚看了文件封二封三留白吧 实际做成8P的骑马钉
说贵······· 让我再问问别家,。。。。他们想要花多少money
估计几点能报价过来和货期。我下午有个会正好直接问问他们。 谢谢~~~,正在算ing 我做个表格给你 14:30 ok不
引用：[图片]；是横版 A4横版，侧面骑马钉。,嗯，记得让设计加白页哈 报价发你了，你回我下哈
你发我下这个的pdf 8p那个是A5？ 我怎么印象里不是a5,不是A5，是个横版的A4 也要加两页白页 横版是对的哈
那么多走顺丰很贵吧。我们叫个货拉拉都好过快递。 引用：其中有本册子是A5尺寸的，你知道的哦；哪个啊,不对是8p，横版的
李国荣，15010624048 引用：[图片]；各30本。 其余等全部做出来后，一次性运到我们江阴工厂，运费我出。,引用：其余等全部做出来后，一次性运到我们江阴工厂，运费我出。；回复：走顺丰啊 其中有本册子是A5尺寸的，你知道的哦
成都宏鼎温德姆至尊豪廷大酒店 成都市郫都区望丛中路1088号 你看看有木有把握。。。,顺丰隔天的价格是正常的1.5倍 当天寄，第二天18:00前
对你必须改成60天，因为现在公司规定统一都是60天了，少于60天都过不了审核,好滴吧 我改下再发你 那我早点开票
Word版之前我们公司盖过章吗？如果盖过，我就不用看了，反正就是印刷内容改改，价格改改,没有呢 账期要2个月啊，这个我写了30天
这个正常速度即可。,500份，1900元 要给你邮件哇
你当初提交注册时候提交的是普票还是专票，以及几个税点 要和当时的一模一样 这个税的问题，和我报备没用哈 [Whimper],我翻下之前的哦，因为我们公司要求我们开专票 开专票要提供营业执照盖章版 找不到了，我的账号里，你们的抬头是普票，还是普票哈 嗯嗯，不急，正好我在 报销，想到这个问题
9-16，我一般在公司 好滴，谢谢,好的，那估计下午过来，出来前跟你说哈 不耽误你下班哈哈哈
你咋现在说话文绉绉的~~ [Tongue],不知道呀~这词突然就蹦出来了[机智]
我现在居家办公居多，周一普遍在 其他时间随机刷新一天 其余都在家 我今天在公司，明天周五一般不来。,我争取看看今天能不能在你下班前打好 不行，我就周一来拜见
老板说是由他们来支付,好的，那我邮件里也跟他们沟通下付款方式吧
王经理，您直接把之前说好的价格报给她吧,好的，价格又他们确认 费用是我们国内支付是么
好的，我抽空看，这两天参加展会了，白天可能没时间,好的，昨天的报价是2980RMB，如果没问题，我可以先安排，邮件等您空了再回我也行 看您方便哈
白皮书的翻译费 开票信息 Richie?,@任贤达 Richie 公 司 名：上海嘉赛信息科技发展有限公司 银 行：建行徐汇支行 账 号：3100 1512 2000 5002 7815 这是我们的公司账户
咱们的报价都是邮件形式呈现出来对吧 有没有一个表格报价单的形式 那麻烦您了,一般都邮件形式的 要么我做一个再发你
合同收到了，盖合同章，报价单也盖章吗 每一份合同就一处盖章，一式两份 报价单也盖一下吗,这是盖章后的报价单，请查收 还需要什么吗
麻烦亲到时把对公付款的信息写到邮件里，我去申请付款,账单邮件发你了哈，有什么需要修改的随时找我 我已申请开票，预计明天可以把发票发你
那我等着报价，然后去申请,不好意思，报价可能要晚点，文件可能比较大，我下载几次都出错了 我找我们IT跟进一下
是个压缩文件 UK发给我的,好的，我去下载下来 是需要翻译的是吗
稍等哈，采购说翻译合同还是用以前的 我改一下哈,好的，不急 大家这么长时间了，邮件确认不影响，合同慢慢来
OK，那我开始走采购流程 回复了,帮忙邮件回复我一下我安排开始工作呗
亲爱的部门领导已确认费用，麻烦确认下合同哈,亲，合同没有问题哈
内容不多，一般一周来得及吗,可以的，没问题，3-4天就可以了
亲爱的~麻烦给个翻译报价哈 前面内容英翻中，最后一页中翻英~谢谢啦,我稍候邮件回你报价哈 交稿时间有什么要求吗
那我就按照这个发业务部啦,好的，没问题 公司介绍这部分去掉了
亲爱的昨天有啥更新不 确认好我可以赶快做合同给业务部审批奥~,亲，早上好 报价更新重新发你了哈，请查收
亲爱的我收到报价了，新的是389 上次是391 我们提供了一些参考内容直接用的，但是在报价里没有体现哎 好咧辛苦啦,我一直在忙，助理统计报价的，我晚点再看一下哈 不好意思
事业部就更新了个图片 翻译报价您再确认下是不是还是之前的价格哈 另外这一页我们是有对应的中文内容的，您看是不是可以直接排版进去不收费呀？,早上好 我现在在外面，下午我进公司回你哈 排版进去不另外收费
亲爱的，发票记得备注合同号哈 这个月或者下个月开票给我们都行 不过付款估计是下个月付哈 哈哈哈,谢谢提醒 我刚刚申请开票，真的又忘记写合同号了[偷笑]
引用：1m*2.5m一个页面，费用500；9平米的展位的话 应该是9米宽吧？价格是9*500=4500元吧？ 引用：是等您展会尺寸出来做报价单呢，还是先做个大概的；展会尺寸 出来后会和您联系的 引用：我的内容不多 基本上从这资料里抽取出来做海报；9平米全部墙面的内容 这本样本的资料够吗？,"引用：9平米的展位的话 应该是9米宽吧？价格是9*500=4500元吧？；回复：是的，最多3开，宽9m，双开的话6m宽 这是一条引用/回复消息： ""罗万振： 9平米全部墙面的内容 这本样本的资料够吗？"" ------ 素材量够的，有些照片的精度不太够"
引用：[文件]；我的内容不多 基本上从这资料里抽取出来做海报,一般高2.5m 1m*2.5m一个页面，费用500 有配套的宣传册需要印吗 是等您展会尺寸出来做报价单呢，还是先做个大概的
引用：[图片]；至今的展会我们是做这样的 为了更有视觉效果 想做成墙面全部的海报 是标展，主办方还没把展位尺寸图发出来 9m2,引用：至今的展会我们是做这样的 为了更有视觉效果 想做成墙面全部的海报；回复：打印和张贴建议问下主办方，他们那边有这样的服务可以打印和贴的 挂轴的效果没有贴在墙面上的好 就做背面一面内容么 主办方几面墙也没出来是吗
引用：打印我们可以做，您自己张贴难度很高的，贴不好的；噢 这样的海报我们没做过 引用：我们根据客户素材，不同尺寸做的，找些案例给您看下；麻烦给一下案例和报价单 并请告知怎么打印和张贴是否可以？,这种挂轴可以 您背面的墙面尺寸是多少？
引用：[图片]；这个属于特装吗？,"引用：这个是您们印刷的吗？；回复：客户本来和您的想法一样的，自己贴，但实际是很难贴的 这是一条引用/回复消息： ""罗万振： 这个属于特装吗？"" ------ 这是标摊，找主办方打印贴的"
引用：[图片]；这个是您们印刷的吗？,引用：打印也有您们做可以吗？我自己张贴；回复：打印我们可以做，您自己张贴难度很高的，贴不好的
我想把这份资料的中文做成整个墙面的海报 引用：我们提供设计，标摊需要您这边找下主办那边打印和张贴哦；打印也有您们做可以吗？我自己张贴,特装我们可以做展台设计和搭建
能否麻烦发一下您们做过的背面全部的海报样板给我看一下？并能否请提供报价单？ 8月初,我们根据客户素材，不同尺寸做的，找些案例给您看下 我们提供设计，标摊需要您这边找下主办那边打印和张贴哦
您们做海报设计的吧？,这个展位上的背景画面和易拉宝都是我们做的
明白 红色是大红正红对吧？ 这个效果图是粉色,你大概和我电脑一样 我先开始也是 你用画图软件看下呢 稍等我叫同事找个实物
你能帮忙看看这个画面能够印到那个手机磁吸卡包上不？如果可以的话是不是可以给我打个样？,问过同事了 可以的 要打样 这是要订单下单后 打样、大货啥的 不过可以先给你弄个效果图？先看看 你这个logo定了吗
引用：[图片]；这个不是logo 就是蚊子 引用：[图片]；我们这个不是logo 就是文字 不用重新打样了 但记得给他们logo文件 Logo是并在一起的,这是我们设计给的png 只是到时候压印 不是红色 是这个对吧
之前那个不是logo 你提供logo文件给他们压哈,我知道 应该出来这个样子 效果图就是提供新的logo 我意思这个磁吸卡包 还要打样下？
引用：[图片]；就这个左边的???? 嗯 可以,我知道就 3M 字母 这个 这个就不打样了吧 之前有3M的样子
Ok吧 logo可以更小一些不？ 引用：[文件]20251009140630.png；好的 就这个吧,吸尘卡包我就直接安排做了吧 都熟悉 上次也含3M 2个字母logo的 这个没什么花头
哈喽呀 我来问一个可能性哈[破涕为笑]你们能帮忙付一笔晚宴的门票钱么？,基本没什么可能性 是因为财务要求的代收 费用极高极高 因为是没成本抵扣 税收极高极高的 比列我都不好意思开口
等下 我好像release出来了 我回你了 你有收到了吧？,引用：等下 我好像release出来了；回复：这是被拦截了？
ewang16@mmm.com 我还是没收到哎 是这个不？,可能我们邮箱的问题 我换个试下
你啥时候发的呀？,节前 930 17点多？ 垃圾箱？
我还要发个邮件啊？我怎么发比较好 这两个工期都多久呀？ 没收到呀,7个工作日 我这个你收到了不？ 这基础上回复就Ok
我这周五能收到这两个东西不？,伞可能有问题 明天拿到打样 要下周初了 ——因为数量太少了 排单中 磁吸卡包没问题
也就是单价要16.8是吧？[破涕为笑],咋说 安排个？这样节后来应该可以拿到打样
稍等 无法看打样啊 那让我思考下啊 我们这个活动 涉及到很多老板看主要是[破涕为笑],实物有哈 印logo打 得多付 三个logo开三个模具就不少了[捂脸] 问过了 三处logo打样+900 等于合计是5050 这样应该OK吧
那可以先给打个样不？,这个金额小 应该是效果图吧 我下午问下同事 她吃饭去了 样品可以要一个 logo得另外开模的 三处不同logo 可以的话 我下午去安排?
我们之前还剩下多少钱呀？ 这个打样+大货大概时间是？,剩余13000多 全部2周
长这样的哈 不是单色印刷的哈,到时候可以分开定 一般都是配套的 红配红 黑配黑 1、但是绳子那个扣子是没的 目前都是一条整体的绳子哦 2、易拉扣是红色的（不是黑色） 引用：长这样的哈 不是单色印刷的哈；回复：我看到了 logo多色了 以上这样的话 大概13.5元/套
最好是圆的呗 你先帮我问下大概价格 太贵我也就放弃了,圆的目前没找到全套的 引用：[图片]；回复：这种全套下来 大概10元/套 三处logo 这个价格范围OK吗
引用：[图片]；这个黑色的是回弹扣,现在大部分是这种扣 也可以伸缩的 引用：这个黑色的是回弹扣；回复：我知道 这种也是回弹的 还是说你只要圆的那种
红色不也是硬塑料的？,"引用：[图片]；回复：这个忽略 同事说 这个没卡套 只有绳子 这是一条引用/回复消息： ""David Xiao： [图片]"" ------ 这里面的 都可以 你们现在自己是这种扣吗？ 这种扣 我记得十几年前我上班是这个 有时候不回弹[捂脸]"
红绳+白壳 可以么？ 白壳背面想印字,没有白壳 要么就是纯透明的 再说白壳用用不就脏了 这类有白色的 硬塑料的 绿色是要的 打叉红色的不要 等于三处（绳子、口、卡套背面）要印刷 绳子有红色 卡套有乳白色的 绳子有红色 卡套有白色的
就是放卡的那个红色的,圈和这个 扣子 logo吧 引用：就是放卡的那个红色的；回复：这不放logo
现在看来一份大概对折，另一份应该正反单页 好的谢谢,本来我以为如果你两份产品的话，那其实我的设计风格统一成一种，然后另外一份就可以免了设计费，只收排版费 现在的话，一共就是6页。那基本上就是我报给您的价格，4000元左右
?亲，这边彩页制作的报价大概怎么样的呀 目前大概有两份彩页,按照我们之前说的如果是三折页的话，一份大概3500-4000左右，如果你两份只是产品不同的话，另一份我不收设计费了，只收个排版费就好
收到，我们看下哈 顺便问下，是不是需要发牌申请PO？ 明白了,你是163邮箱收到的 还是哪封？ 帮忙看下 引用：顺便问下，是不是需要发牌申请PO？；回复：是那个报价单单申请PO的 发票是在PO之后 合规流程[微笑]
mzhang5@solventum.com 报价收到了,好像以前我的交稿邮件 你也收不到是吧 报价可以收到[微笑] 稍等 几分钟看下 没 我再单独发 我是在报价上面回复的 我用163的邮箱也发了 一会收下
我怕老板还是给我打回来 我先试试 通过了跟你说 你再开始干 我老板,你指的申请 是采购 还是老板那？
20000？ 哈哈哈 行,已经低于我们一般的最低折扣 8折是 21120 整数21000 可以不 这样我也省得再去申请 多的120可以去掉的
急的 你再给我优惠一下呗,21600 怎么样
先翻，到时候看看效果 不行就只中文 稍等哈,因为这个讲座背景是PPT 下面的位置限制住了 我来出报价单给你 两个合计正好是80分钟 等于近一个半小时 正常80*330/分钟=26400 我可以做到 85折 22440 含税价
笑死了，下次给你寄一点。,自从上次你找我翻译个那个视频后[微笑] 谢谢 除了 有时候集中 每次有时候凑单加购什么的 我都会顺带一瓶小的 对油发 多少还是有些用处的 水杨酸 但是感觉 放2行中英文字幕的话 比较挤耶
引用：[图片]；就里面的2英文的就行 吴那个不用,OK 听写、翻译后 再配中文字幕是吧
翻译+视频配字幕你们都可以做吗 还是只能翻译？,对啊，一体化的哈 大概合计多久哈
好久没联系 还做视频翻译工作吗,做的哈 上周还帮理肤泉做了翻译的
用AI校正过不 哈哈 只配中文对吗,对 前面我试了 真的就中文 双语其实价格多少有点不一样的，毕竟2是个字体 2个轨道 且时间也是个问题
1920*1280,这个哦 16比9的尺寸 你们另外一个就是 引用：另外一个视频是常规的 1920*1280；回复：这里我打错了[捂脸]
技术反馈不影响观看，我们统一调成和之前一样的分辨率 这个你们可以直接调还是 我们调整好给你,我们可以调的 那就2个都是 1920*1080
好的 大概率明天公司财务会打款。,好的，谢谢。开票信息有了，麻烦发我
收款账户您再发我下,开户行及账号：建行上海徐汇支行 账号：31050173360000005966
稍等 我和付款方讲一下,好的，那我等您确认了，再开票，谢谢
看下费用最低多少 和上上次是同一个案子 要有国际贸易经验的翻译,估计翻译费1000元左右
我有份文件需要翻译 先帮我报个价？ 注意保密,我在地铁上了 明天上午给你钱报价
韩文翻译的单价是多少,也是之前合同类似吗 中译韩 450元/千字中文
你好，我们需要麻烦您这边做韩文翻译，中译韩的文件,market2@speed-asia.com 我的邮箱 发我？
是否有可能安排？给我个报价可以吗？谢谢,如果不用去你们公司或者现场哪 翻译也是call电话进去的话 （国内电话） 这样的话 大概4000元
我重新给你开票信息,那是不是连着昨天确认的一起合并开 不然你又要申请一次？
PO send to yuanzheng.zhang@loreal.com; cc fiona.min@loreal.com; frances.li@loreal.com 盖章版报价单可以发这里,那是谁给我确认金额呢 报价呢 虽然不多[微笑]
我想请问下之前的报价单我们是按次报价嘛,肖美鹏 David 销售部 上海嘉赛信息科技发展有限公司(事必达) 021 5489 6060-183 13524025465 www.speed-asia.com market2@speed-asia.com 中国上海徐汇区肇嘉浜路1065号飞雕国际大厦1409室 这个号您可以存下 后续呢，也可以这里联系我哈 引用：我想请问下之前的报价单我们是按次报价嘛；回复：你们最近好像是的
咱有盖章的报价单不？,稍等 我后面2个合并报价单给你 我想先邮件确认 翻译[捂脸] 2分钟
引用：PO send to yuanzheng.zhang@loreal.com; cc fiona.min@loreal.com; frances.li@loreal.com；报价单还是发这个~另外刚给az发的那单报价单也转我下附件把 我一起开掉 cc下我hh 要不然我看不到附件 frances.li@loreal.com 也可以,回头我合并一起出个报价单给你？ 不然2笔小的 你们申请也麻烦？
?老师这个也需要翻译下~ 可以参考如上格式返回 成分表FYI,亲，群里这个包装的 我报价也是给 yuanzheng.zhang@loreal.com
我有个小册子询下价格 数量不多 你们印厂在哪里 我邮件你,引用：你们印厂在哪里；回复：嘉定 这次小册子的具体印刷要求可以告诉我吗，我根据具体要求给您详细报价和交期
13的项目名称怎么写 票样有吗,印刷费 13是印刷费 6是制作费，服务费 是之前的样本要印刷了吗 有的，稍等，我找一些之前给其他客户的，发你看
怎么开发票的？,13%，6%都可以
等你正式报价单 这个不用,4940元哈 因为要是130的整倍数 发过去了
你先看一下材料，有问题的话，请邮件回复一下我们PM在邮件里。,报价我发了
"Hello daily, 我刚发一个邮件给你，麻烦你帮我看一下我们的这个需求大概需要多少钱，然后给我一个正式的报价邮件，好吗？谢谢。",但是最后一页的表格好像没翻译吧 还有这个是你们自己翻译的 还是ai翻译的？ 因为上次有回 也是这样的 我们排好了 然后你们同事几乎全部改了
hi David 请问今天大概啥时候可以给到英文版本？谢谢 好的 谢谢,下午三四点应该可以的 对了 这批全了是吗 我出正式报价单给你？
AD我开下去了哈，流程走的差不多我们就准备开工,[OK] lionBridge报价高多少哈[捂脸]
嗯，另一家global的 估计还是会选你们的,哦 现在这么小金额也要比价的？
应该很快能答复你，我们走个比价流程,? 比价？ 翻译国内就我们吧
需要几天呢？,3天吧
做成一模一样的中文pdf版,报价我发了哈
哦，我看了，这个文件是好几国语言的 实际需要翻译的就10页 我发你吧,[捂脸] 应该是个说明书手册 那还需要排版成对应的pdf的版 不单单是纯文字翻译吧 那逻辑上这样可以对外发的吧
基本上就是这种 引用：你自己转换的是吗；对的 就是在word里打开了pdf,有的可能变成图片格式了 pdf有自己的统计 引用：[图片]；回复：假如按照你这个字数算的话 大概是2.9万多 纯翻译
总共这么多字哈 大概要多少钱？我先内部沟通一下 word,你现在的文件是pdf还是word？ 截一两页我看下呢 带图片那种 国外一般不都是pdf嘛
这个文件我先问一下能不能对外发，内容是一份312页的英文版技术文件。你大概预估是多少钱呀？,一般看字数的耶 技术手册篇幅的多少 我真的无法仔细预估
怎么这么快就知道了 我们有个文件要汉化,那你发我 market2@speed-asia.com 我的邮箱
盛经理，我们要做4张宣传页，然后内容大概是在这些word里。 引用：[文件]；设计风格是类似这种的，然后里面的尺寸啊，字体啊，我们会整理一下给您。 可以看一下大概具体的报价是多少吗？ 图片现在还不够清晰，到时候我们会再整理一些清晰的图片给你。,收到，张小姐 我来看下哦，请稍等 4份文件我都看过了，设计成4张正反面的单片。 基于您提供的PDF参考文件，再加有些P图的工作，我们的报价可以做到4000元以内。
嗯，这个明白，至少要清晰能印刷的 好的～,我发您一份我们每月的案例分享，看看您那儿还有什么服务我们可以拓展一下的
我们还在准备资料，昨天看了下同事给的资料，只有文字，还没有图片，想把图片插进去后和您确认下最后的报价 昨天给了我word，然后说图片都在PPT里…… 还要再等等,好的，好的 引用：昨天给了我word，然后说图片都在PPT里……；回复：如果考虑到一劳永逸，最好图片要高清的哦 这样后期万一要印刷也就印了，否则到时候还得需要换图
好的好的，先不用，最好等价格敲定下来再说,明白，那就等你们那边确定下来再说。谢谢 Maggie～
还没有，领导说内容还要再调整一下。 然后他们在出差，所以还需要过一两周。,哦哦，好的 那报价这块，领导那里大概有反馈吗到？ 那报价这块，领导那里大概有反馈吗？
之前还以为不开发票了 上午不是我接待的 发现按订单金额开了发票,还以为都返还了呢，上次就和财务说了
我询价表你也按照这个格式填写一下,引用：我询价表你也按照这个格式填写一下；回复：是指上周报价的同传哇，按这个格式改改对哇
我等下发一个框架报价模版 你在更新一下 发了收到吗,里面有笔记本台历啥的，一点图片，抽空看看哈，有机会的话我可以具体介绍介绍，这块我们做了二十多年了，经验还是蛮丰富滴 引用：我等下发一个框架报价模版；回复：好呀，收到看下哈 收到了哦 需要补充下同传库
引用：这2天没有加调音台的费用哦；音响设备就是调音台？ 哦对就是这个,其余2张报价单都不涉及这块
太多了我有点乱 爬贴错了,邮件发了哦，老师的情况邮件文字也写了 价格是按框架的底价调整了的
先发确认好档期的老师简历哦 没确认的简历先不发 价格可以先发过来 再发一下,嗯嗯，简历之前都发过的，我优先用过的女老师，顺位用过的男老师， 第三顺位，同级别的老师
你等下报价一起发一下olivia,我先把后面2个时间段的报价和人选发一下，这个我们今天尽快定 前面的等中午，老师们同传结束，我再确定下人选
报价是含税未税啊,含税6%
老师还是我们之前用过的对吧,是的，一共推荐了4位， 3位是之前用过的 看用户想选哪组呗，选定了尽快通知我哦
我想不要在来来回回议价了 直接按照我们之前使用过并且价格最优去下单了 不要来回折腾我们流程不是最低价选择也很麻烦,嗯嗯， 是滴呀，理解滴，我也是这么想的 现在的报价是低于之前5天的了。 这次设备2天用100套，比上次的多~~ 加在一起92600， 要不直接按92000结算呗，你看ok哇 上次合作其实最后一天有2个多小时加班，少了一个接收器，我这边都申请免掉了~~ 服务和售后肯定是最佳滴[偷笑]
明细就按照合同里的给 对了改称静安了是不是报价要变化了 变便宜了,没变化哦 静安一样的 要音响设备 达沃斯不用
九月的不用担心 lilian出差了 嗯对的,如果时间人数地点什么有变化，提前通知我哦 请教下之后的流程哦， 框架签好之后的话。 再有新的同传需求， 我就按框架出单次报价单。然后还是要等PO的对哇
老板的人我也不太好多催 嗯对的,好呀，是要等Andy这边下PO对吧
汶水路的改到静安了 我们嘉定总部静安教室,好呀，那没问题 我明天去汶水路就看下板子~~
